Part,Value,Device,Package,Description,AREA,B2585,CURRENT,DCR,ESR,HALF_ANGLE,PACKAGE,POWER,SENSITIVITY,SKU,TEMP,VALUE,VB,VOLTAGE,VR,VS
C1,100nF 10%,CAP-V-100NF-1608,1608,Capacitor - Vertical Orientation,,,,,,,1608,,,11-104A,X7R,100nF 10%,,50V,,
C2,100nF 10%,CAP-V-100NF-1608,1608,Capacitor - Vertical Orientation,,,,,,,1608,,,11-104A,X7R,100nF 10%,,50V,,
C3,100nF 10%,CAP-V-100NF-1608,1608,Capacitor - Vertical Orientation,,,,,,,1608,,,11-104A,X7R,100nF 10%,,50V,,
C4,100nF 10%,CAP-V-100NF-1608,1608,Capacitor - Vertical Orientation,,,,,,,1608,,,11-104A,X7R,100nF 10%,,50V,,
C5,100nF 10%,CAP-V-100NF-1608,1608,Capacitor - Vertical Orientation,,,,,,,1608,,,11-104A,X7R,100nF 10%,,50V,,
C6,1nF 10%,CAP-V-1NF-1608,1608,Capacitor - Vertical Orientation,,,,,,,1608,,,11-102A,X7R,1nF 10%,,50V,,
C7,100nF 10%,CAP-V-100NF-1608,1608,Capacitor - Vertical Orientation,,,,,,,1608,,,11-104A,X7R,100nF 10%,,50V,,
C8,1µF 10%,CAP-H-1UF-1608,1608,Capacitor - Horizontal Orientation,,,,,,,1608,,,11-105A,X5R,1µF 10%,,6.3V,,
C9,4.7µF 10%,CAP-V-4.7UF-3216,3216,Capacitor - Vertical Orientation,,,,,,,3216,,,13-475A,C0G,4.7µF 10%,,25V,,
C10,4.7µF 10%,CAP-V-4.7UF-3216,3216,Capacitor - Vertical Orientation,,,,,,,3216,,,13-475A,C0G,4.7µF 10%,,25V,,
C11,47µF,CAP-POL-V-47UF-4028,4028-POL,Capacitor Polarized - Vertical Orientation,,,,,Max 400mΩ,,Tant-B,,,16-476A,,47µF,,10V,,
C12,100nF 10%,CAP-V-100NF-1608,1608,Capacitor - Vertical Orientation,,,,,,,1608,,,11-104A,X7R,100nF 10%,,50V,,
C13,10µF 10%,CAP-V-10UF-3216,3216,Capacitor - Vertical Orientation,,,,,,,3216,,,13-106A,X7R,10µF 10%,,10V,,
C14,10µF 10%,CAP-V-10UF-3216,3216,Capacitor - Vertical Orientation,,,,,,,3216,,,13-106A,X7R,10µF 10%,,10V,,
C15,10µF 10%,CAP-V-10UF-3216,3216,Capacitor - Vertical Orientation,,,,,,,3216,,,13-106A,X7R,10µF 10%,,10V,,
C16,10µF 10%,CAP-V-10UF-3216,3216,Capacitor - Vertical Orientation,,,,,,,3216,,,13-106A,X7R,10µF 10%,,10V,,
C17,4.7µF 10%,CAP-V-4.7UF-3216,3216,Capacitor - Vertical Orientation,,,,,,,3216,,,13-475A,C0G,4.7µF 10%,,25V,,
C18,100nF 10%,CAP-V-100NF-1608,1608,Capacitor - Vertical Orientation,,,,,,,1608,,,11-104A,X7R,100nF 10%,,50V,,
C19,47µF,CAP-POL-V-47UF-4028,4028-POL,Capacitor Polarized - Vertical Orientation,,,,,Max 400mΩ,,Tant-B,,,16-476A,,47µF,,10V,,
C20,4.7µF 10%,CAP-V-4.7UF-3216,3216,Capacitor - Vertical Orientation,,,,,,,3216,,,13-475A,C0G,4.7µF 10%,,25V,,
C21,1µF 10%,CAP-H-1UF-1608,1608,Capacitor - Horizontal Orientation,,,,,,,1608,,,11-105A,X5R,1µF 10%,,6.3V,,
C22,100nF 10%,CAP-V-100NF-1608,1608,Capacitor - Vertical Orientation,,,,,,,1608,,,11-104A,X7R,100nF 10%,,50V,,
C23,1nF 10%,CAP-V-1NF-1608,1608,Capacitor - Vertical Orientation,,,,,,,1608,,,11-102A,X7R,1nF 10%,,50V,,
C24,100nF 10%,CAP-V-100NF-1608,1608,Capacitor - Vertical Orientation,,,,,,,1608,,,11-104A,X7R,100nF 10%,,50V,,
C25,100nF 10%,CAP-V-100NF-1608,1608,Capacitor - Vertical Orientation,,,,,,,1608,,,11-104A,X7R,100nF 10%,,50V,,
C26,100nF 10%,CAP-V-100NF-1608,1608,Capacitor - Vertical Orientation,,,,,,,1608,,,11-104A,X7R,100nF 10%,,50V,,
C27,4.7µF 10%,CAP-POL-V-4.7UF-4028,4028-POL,Capacitor Polarized - Vertical Orientation,,,,,Max 900mΩ,,Tant-B,,,16-475A,,4.7µF 10%,,20V,,
C28,270pF 1%,CAP-V-270PF-1608,1608,Capacitor - Vertical Orientation,,,,,,,1608,,,11-271A,C0G,270pF 1%,,100V,,
D1,SFH 2430,PHOTODIODE-SFH2430,SFH2430,Photodiode,,,,,,±60°,,,6.3nA/lx,66-0003,,SFH 2430,,,5V,
D2,SMM4F5.0A,DIODE-TVS-V-5.0-STMITE,STMITE,Diode Transient Voltage Suppression (TVS) Vertical,,,179A,,,,,,,53-0002,,SMM4F5.0A,B6.8V,,,S5.0V
D3,SMM4F5.0A,DIODE-TVS-V-5.0-STMITE,STMITE,Diode Transient Voltage Suppression (TVS) Vertical,,,179A,,,,,,,53-0002,,SMM4F5.0A,B6.8V,,,S5.0V
FB1,1.5kΩ @ 100MHz,CHOKE-H-1.5K-1608,1608,Choke (Ferrite Bead) Horizontal,,,500mA,500mΩ,,,1608,,,36-152A,,1.5kΩ @ 100MHz,,,,
H1,M3,MOUNTING_HOLE-3.3,MOUNTING_HOLE-3.3,Mounting Hole,,,,,,,,,,48-004x,,M3,,,,
H2,M3,MOUNTING_HOLE-3.3,MOUNTING_HOLE-3.3,Mounting Hole,,,,,,,,,,48-004x,,M3,,,,
H3,M3,MOUNTING_HOLE-3.3,MOUNTING_HOLE-3.3,Mounting Hole,,,,,,,,,,48-004x,,M3,,,,
H4,M3,MOUNTING_HOLE-3.3,MOUNTING_HOLE-3.3,Mounting Hole,,,,,,,,,,48-004x,,M3,,,,
H5,M3,MOUNTING_HOLE-3.3,MOUNTING_HOLE-3.3,Mounting Hole,,,,,,,,,,48-004x,,M3,,,,
H6,M3,MOUNTING_HOLE-3.3,MOUNTING_HOLE-3.3,Mounting Hole,,,,,,,,,,48-004x,,M3,,,,
J1,,1X04-PICOLOCK,PICOLOCK1.5-04,Generic Connector - 4 Conductor,,,,,,,PicoLock,,,04-0001,,,,,,
J2,Wire Harness Connector,1X07-PICOLOCK,PICOLOCK1.5-07,Generic Connector - 7 Conductor,,,,,,,PicoLock,,,04-0003,,,,,,
L1,xxx Turns,MAGNETORQUER-1UPV-SMD-3030,SMD-3030-2,Magnetorquer,xxx mm²,,,xxΩ x%,,,,,,67-0001,,xxx Turns,,,,
L2,10µH 20%,INDUCTOR-H-10UH-6060,6060,Inductor Horizontal,,,1.8A,100mΩ,,,6060,,,34-103A,,10µH 20%,,,,
L3,10µH 20%,INDUCTOR-H-10UH-6060,6060,Inductor Horizontal,,,1.8A,100mΩ,,,6060,,,34-103A,,10µH 20%,,,,
LOGO1,SIGNATUREHENDRIK,SIGNATUREHENDRIK,SIGN-HENDRIK,Designer's (Artist's) Signature,,,,,,,,,,,,,,,,
LOGO2,Satellite 16mm,CIS-LOGO-SATELLITE-16MM,CIS-SATELLITE-16,Cougs in Space Artwork,,,,,,,,,,,,Satellite 16mm,,,,
PV1,UTJ,SOLAR_CELL-UTJ,SPECTROLABS-UTJ,Solar Panel,,,,,,,,1W,,02-0001,,UTJ,,,,
PV2,UTJ,SOLAR_CELL-UTJ,SPECTROLABS-UTJ,Solar Panel,,,,,,,,1W,,02-0001,,UTJ,,,,
R1,0Ω <20mΩ,RES-V-0-1608,1608,Resistor Vertical,,,,,,,1608,1/10W,,21-0000,70°C Max 2A,0Ω <20mΩ,,,,
R2,0Ω <20mΩ,RES-V-0-1608,1608,Resistor Vertical,,,,,,,1608,1/10W,,21-0000,70°C Max 2A,0Ω <20mΩ,,,,
R3,0Ω <20mΩ,RES-V-0-1608,1608,Resistor Vertical,,,,,,,1608,1/10W,,21-0000,70°C Max 2A,0Ω <20mΩ,,,,
R4,0Ω <20mΩ,RES-V-0-1608,1608,Resistor Vertical,,,,,,,1608,1/10W,,21-0000,70°C Max 2A,0Ω <20mΩ,,,,
R5,0Ω <20mΩ,RES-V-0-1608,1608,Resistor Vertical,,,,,,,1608,1/10W,,21-0000,70°C Max 2A,0Ω <20mΩ,,,,
R6,0Ω <20mΩ,RES-V-0-1608,1608,Resistor Vertical,,,,,,,1608,1/10W,,21-0000,70°C Max 2A,0Ω <20mΩ,,,,
R7,0Ω <20mΩ,RES-V-0-1608,1608,Resistor Vertical,,,,,,,1608,1/10W,,21-0000,70°C Max 2A,0Ω <20mΩ,,,,
R8,0Ω <20mΩ,RES-V-0-1608,1608,Resistor Vertical,,,,,,,1608,1/10W,,21-0000,70°C Max 2A,0Ω <20mΩ,,,,
R9,0Ω <20mΩ,RES-V-0-1608,1608,Resistor Vertical,,,,,,,1608,1/10W,,21-0000,70°C Max 2A,0Ω <20mΩ,,,,
R10,0Ω <20mΩ,RES-V-0-1608,1608,Resistor Vertical,,,,,,,1608,1/10W,,21-0000,70°C Max 2A,0Ω <20mΩ,,,,
R11,0Ω <20mΩ,RES-V-0-1608,1608,Resistor Vertical,,,,,,,1608,1/10W,,21-0000,70°C Max 2A,0Ω <20mΩ,,,,
R12,0Ω <20mΩ,RES-V-0-1608,1608,Resistor Vertical,,,,,,,1608,1/10W,,21-0000,70°C Max 2A,0Ω <20mΩ,,,,
R13,360kΩ 1%,RES-V-360K-1608,1608,Resistor Vertical,,,,,,,1608,1/10W,,21-3603,100ppm/°C,360kΩ 1%,,,,
R14,1kΩ 0.1%,RES-V-1K-1608,1608,Resistor Vertical,,,,,,,1608,1/8W,,21-1001,25ppm/°C,1kΩ 0.1%,,,,
R15,1kΩ 0.1%,RES-V-1K-1608,1608,Resistor Vertical,,,,,,,1608,1/8W,,21-1001,25ppm/°C,1kΩ 0.1%,,,,
R16,0Ω <20mΩ,RES-V-0-1608,1608,Resistor Vertical,,,,,,,1608,1/10W,,21-0000,70°C Max 2A,0Ω <20mΩ,,,,
R17,10kΩ 0.1%,RES-H-10K-1608,1608,Resistor Horizontal,,,,,,,1608,1/8W,,21-1002,25ppm/°C,10kΩ 0.1%,,,,
R18,820kΩ 1%,RES-V-820K-1608,1608,Resistor Vertical,,,,,,,1608,1/10W,,21-8203,100ppm/°C,820kΩ 1%,,,,
R19,1kΩ 0.1%,RES-V-1K-1608,1608,Resistor Vertical,,,,,,,1608,1/8W,,21-1001,25ppm/°C,1kΩ 0.1%,,,,
R20,0Ω <20mΩ,RES-V-0-1608,1608,Resistor Vertical,,,,,,,1608,1/10W,,21-0000,70°C Max 2A,0Ω <20mΩ,,,,
R21,0Ω <20mΩ,RES-V-0-1608,1608,Resistor Vertical,,,,,,,1608,1/10W,,21-0000,70°C Max 2A,0Ω <20mΩ,,,,
R22,50mΩ 1%,RES-H-0.05R-1608,1608,Resistor Horizontal,,,,,,,1608,1/5W,,21-0.05,75ppm/°C,50mΩ 1%,,,,
R23,0Ω <20mΩ,RES-V-0-1608,1608,Resistor Vertical,,,,,,,1608,1/10W,,21-0000,70°C Max 2A,0Ω <20mΩ,,,,
R24,100mΩ 1%,RES-H-0.1R-3216,3216,Resistor Horizontal,,,,,,,3216,1/4W,,23-0.10,75ppm/°C,100mΩ 1%,,,,
R25,0Ω <20mΩ,RES-V-0-1608,1608,Resistor Vertical,,,,,,,1608,1/10W,,21-0000,70°C Max 2A,0Ω <20mΩ,,,,
R26,150Ω 1%,RES-V-150R-1608,1608,Resistor Vertical,,,,,,,1608,1/10W,,21-1500,100ppm/°C,150Ω 1%,,,,
R27,0Ω <20mΩ,RES-V-0-1608,1608,Resistor Vertical,,,,,,,1608,1/10W,,21-0000,70°C Max 2A,0Ω <20mΩ,,,,
R28,100mΩ 1%,RES-H-0.1R-3216,3216,Resistor Horizontal,,,,,,,3216,1/4W,,23-0.10,75ppm/°C,100mΩ 1%,,,,
R29,50mΩ 1%,RES-H-0.05R-1608,1608,Resistor Horizontal,,,,,,,1608,1/5W,,21-0.05,75ppm/°C,50mΩ 1%,,,,
R30,0Ω <20mΩ,RES-V-0-1608,1608,Resistor Vertical,,,,,,,1608,1/10W,,21-0000,70°C Max 2A,0Ω <20mΩ,,,,
R31,0Ω <20mΩ,RES-V-0-1608,1608,Resistor Vertical,,,,,,,1608,1/10W,,21-0000,70°C Max 2A,0Ω <20mΩ,,,,
R32,0Ω <20mΩ,RES-V-0-1608,1608,Resistor Vertical,,,,,,,1608,1/10W,,21-0000,70°C Max 2A,0Ω <20mΩ,,,,
R33,820kΩ 1%,RES-V-820K-1608,1608,Resistor Vertical,,,,,,,1608,1/10W,,21-8203,100ppm/°C,820kΩ 1%,,,,
R34,1kΩ 0.1%,RES-V-1K-1608,1608,Resistor Vertical,,,,,,,1608,1/8W,,21-1001,25ppm/°C,1kΩ 0.1%,,,,
R35,10kΩ 0.1%,RES-H-10K-1608,1608,Resistor Horizontal,,,,,,,1608,1/8W,,21-1002,25ppm/°C,10kΩ 0.1%,,,,
R36,0Ω <20mΩ,RES-V-0-1608,1608,Resistor Vertical,,,,,,,1608,1/10W,,21-0000,70°C Max 2A,0Ω <20mΩ,,,,
R37,0Ω <20mΩ,RES-V-0-1608,1608,Resistor Vertical,,,,,,,1608,1/10W,,21-0000,70°C Max 2A,0Ω <20mΩ,,,,
R38,1kΩ 0.1%,RES-V-1K-1608,1608,Resistor Vertical,,,,,,,1608,1/8W,,21-1001,25ppm/°C,1kΩ 0.1%,,,,
R39,1kΩ 0.1%,RES-V-1K-1608,1608,Resistor Vertical,,,,,,,1608,1/8W,,21-1001,25ppm/°C,1kΩ 0.1%,,,,
R40,20kΩ 0.5%,RES-V-20K-1608,1608,Resistor Vertical,,,,,,,1608,1/5W,,21-2002,50ppm/°C,20kΩ 0.5%,,,,
R41,20kΩ 0.5%,RES-V-20K-1608,1608,Resistor Vertical,,,,,,,1608,1/5W,,21-2002,50ppm/°C,20kΩ 0.5%,,,,
R42,360kΩ 1%,RES-V-360K-1608,1608,Resistor Vertical,,,,,,,1608,1/10W,,21-3603,100ppm/°C,360kΩ 1%,,,,
R43,20kΩ 0.5%,RES-V-20K-1608,1608,Resistor Vertical,,,,,,,1608,1/5W,,21-2002,50ppm/°C,20kΩ 0.5%,,,,
R44,20kΩ 0.5%,RES-V-20K-1608,1608,Resistor Vertical,,,,,,,1608,1/5W,,21-2002,50ppm/°C,20kΩ 0.5%,,,,
R45,0Ω <20mΩ,RES-V-0-1608,1608,Resistor Vertical,,,,,,,1608,1/10W,,21-0000,70°C Max 2A,0Ω <20mΩ,,,,
R46,0Ω <20mΩ,RES-V-0-1608,1608,Resistor Vertical,,,,,,,1608,1/10W,,21-0000,70°C Max 2A,0Ω <20mΩ,,,,
R47,0Ω <20mΩ,RES-V-0-1608,1608,Resistor Vertical,,,,,,,1608,1/10W,,21-0000,70°C Max 2A,0Ω <20mΩ,,,,
R48,0Ω <20mΩ,RES-V-0-1608,1608,Resistor Vertical,,,,,,,1608,1/10W,,21-0000,70°C Max 2A,0Ω <20mΩ,,,,
R49,0Ω <20mΩ,RES-V-0-1608,1608,Resistor Vertical,,,,,,,1608,1/10W,,21-0000,70°C Max 2A,0Ω <20mΩ,,,,
R50,0Ω <20mΩ,RES-V-0-1608,1608,Resistor Vertical,,,,,,,1608,1/10W,,21-0000,70°C Max 2A,0Ω <20mΩ,,,,
R51,0Ω <20mΩ,RES-V-0-1608,1608,Resistor Vertical,,,,,,,1608,1/10W,,21-0000,70°C Max 2A,0Ω <20mΩ,,,,
R52,0Ω <20mΩ,RES-V-0-1608,1608,Resistor Vertical,,,,,,,1608,1/10W,,21-0000,70°C Max 2A,0Ω <20mΩ,,,,
R53,0Ω <20mΩ,RES-V-0-1608,1608,Resistor Vertical,,,,,,,1608,1/10W,,21-0000,70°C Max 2A,0Ω <20mΩ,,,,
R54,0Ω <20mΩ,RES-V-0-1608,1608,Resistor Vertical,,,,,,,1608,1/10W,,21-0000,70°C Max 2A,0Ω <20mΩ,,,,
R55,0Ω <20mΩ,RES-V-0-1608,1608,Resistor Vertical,,,,,,,1608,1/10W,,21-0000,70°C Max 2A,0Ω <20mΩ,,,,
R56,0Ω <20mΩ,RES-V-0-1608,1608,Resistor Vertical,,,,,,,1608,1/10W,,21-0000,70°C Max 2A,0Ω <20mΩ,,,,
R57,12.1kΩ 0.1%,RES-H-12.1K-1608,1608,Resistor Horizontal,,,,,,,1608,1/8W,,21-1212,25ppm/°C,12.1kΩ 0.1%,,,,
R58,12.1kΩ 0.1%,RES-H-12.1K-1608,1608,Resistor Horizontal,,,,,,,1608,1/8W,,21-1212,25ppm/°C,12.1kΩ 0.1%,,,,
RT1,68kΩ 5%,THERMISTOR-V-68K-1608,1608,Thermistor Vertical,,3935K 1%,,,,,1608,,,26-0004,,68kΩ 5%,,,,
RT2,68kΩ 5%,THERMISTOR-V-68K-1608,1608,Thermistor Vertical,,3935K 1%,,,,,1608,,,26-0004,,68kΩ 5%,,,,
RT3,68kΩ 5%,THERMISTOR-H-68K-1608,1608,Thermistor Horizontal,,3935K 1%,,,,,1608,,,26-0004,,68kΩ 5%,,,,
RT4,68kΩ 5%,THERMISTOR-V-68K-1608,1608,Thermistor Vertical,,3935K 1%,,,,,1608,,,26-0004,,68kΩ 5%,,,,
RT5,68kΩ 5%,THERMISTOR-H-68K-1608,1608,Thermistor Horizontal,,3935K 1%,,,,,1608,,,26-0004,,68kΩ 5%,,,,
TP1,TEST_POINT-SMD-C-1.25,TEST_POINT-SMD-C-1.25,SMD-C-1.25,Test Point,,,,,,,,,,,,,,,,
TP2,TEST_POINT-SMD-C-1.25,TEST_POINT-SMD-C-1.25,SMD-C-1.25,Test Point,,,,,,,,,,,,,,,,
U1,TCA9535R,TCA9535R,QFN-24-4040,IO Expander - 16b,,,,,,,,,,27-0001,,TCA9535R,,,,
U2,SPV1040,SPV1040,TSSOP8,Solar Battery Charger with MPPT,,,,,,,,,,60-0001,,SPV1040,,,,
U3,SPV1040,SPV1040,TSSOP8,Solar Battery Charger with MPPT,,,,,,,,,,60-0001,,SPV1040,,,,
U4,LTC2499,LTC2499,QFN-38-5070,LTC2499,,,,,,,,,,27-0002,,LTC2499,,,,
U5,LTC2499,LTC2499,QFN-38-5070,LTC2499,,,,,,,,,,27-0002,,LTC2499,,,,
U6,MCP1501-18,MCP1501-18E/RW,WSON-8,Voltage Reference with Enable and Feedback,,,,,,,,,,62-0004,,MCP1501-18,,1.800V,,
